0	0	0	0	0	0	0	0	0	24	14	12	0.0	
1	0	0	0	0	0	0	0	0	23	14	12	0.3071748542159842	
0	1	0	0	0	0	0	0	0	23	13	12	0.9420297476970926	
0	0	1	0	0	0	0	0	0	23	13	11	1.127672068226644	
0	0	1	0	0	0	0	0	0	23	13	10	1.3133143887561953	
0	0	1	0	0	0	0	0	0	23	13	9	1.4989567092857468	
0	0	1	0	0	0	0	0	0	23	13	8	1.6845990298152982	
0	0	1	0	0	0	0	0	0	23	13	7	1.8702413503448496	
0	0	1	0	0	0	0	0	0	23	13	6	2.055883670874401	
0	0	1	0	0	0	0	0	0	23	13	5	2.2415259914039525	
0	0	1	0	0	0	0	0	0	23	13	4	2.427168311933504	
0	0	1	0	0	0	0	0	0	23	13	3	2.6128106324630553	
0	0	1	0	0	0	0	0	0	23	13	2	2.7984529529926068	
0	0	1	0	0	0	0	0	0	23	13	1	2.984095273522158	
0	0	1	0	0	0	0	0	0	23	13	0	3.1697375940517096	
1	0	0	0	0	0	0	0	0	22	13	0	3.4769124482676936	
1	0	0	0	0	0	0	0	0	21	13	0	3.7840873024836776	
1	0	0	0	0	0	0	0	0	20	13	0	4.091262156699662	
1	0	0	0	0	0	0	0	0	19	13	0	4.398437010915646	
1	0	0	0	0	0	0	0	0	18	13	0	4.70561186513163	
1	0	0	0	0	0	0	0	0	17	13	0	5.012786719347614	
1	0	0	0	0	0	0	0	0	16	13	0	5.319961573563598	
1	0	0	0	0	0	0	0	0	15	13	0	5.627136427779582	
1	0	0	0	0	0	0	0	0	14	13	0	5.934311281995566	
1	0	0	0	0	0	0	0	0	13	13	0	6.24148613621155	
1	0	0	0	0	0	0	0	0	12	13	0	6.548660990427534	
1	0	0	0	0	0	0	0	0	11	13	0	6.855835844643518	
1	0	0	0	0	0	0	0	0	10	13	0	7.163010698859502	
1	0	0	0	0	0	0	0	0	9	13	0	7.470185553075486	
1	0	0	0	0	0	0	0	0	8	13	0	7.77736040729147	
1	0	0	0	0	0	0	0	0	7	13	0	8.084535261507455	
1	0	0	0	0	0	0	0	0	6	13	0	8.39171011572344	
1	0	0	0	0	0	0	0	0	5	13	0	8.698884969939424	
1	0	0	0	0	0	0	0	0	4	13	0	9.00605982415541	
1	0	0	0	0	0	0	0	0	3	13	0	9.313234678371394	
1	0	0	0	0	0	0	0	0	2	13	0	9.620409532587379	
1	0	0	0	0	0	0	0	0	1	13	0	9.927584386803364	
1	0	0	0	0	0	0	0	0	0	13	0	10.234759241019349	
0	13	0	0	0	0	0	0	0	0	0	0	117.52523623932666	
0	0	0	0	0	0	0	0	0	0	0	0	117.52523623932666	
